rand
Algorithm;Length;Mean;std
Naive;5;1.9761099999999742e-05;1.149672413417143e-05
Memoization;5;1.1770799999999994e-05;1.671954944946619e-06
Naive;10;0.0021693735666666668;0.0017718503786397553
Memoization;10;3.472776666666594e-05;5.1338290252906335e-06
Naive;15;0.2255159250333333;0.2441320828967833
Memoization;15;7.000840000005818e-05;9.09204469476261e-06
Naive;18;4.332401031933333;4.5367059261597635
Memoization;18;9.814183333105575e-05;7.670911630646529e-06
Naive;20;25.830617256933333;36.73940141925796
Memoization;20;0.00011222920000667122;1.2432780842809762e-05
