SSID, BSS, RSSI, Channel, Time
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-90", "6", "17:51:20"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-90", "6", "17:51:22"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-90", "6", "17:51:25"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-89", "6", "17:51:28"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-80", "6", "17:51:31"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-72", "6", "17:51:33"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-77", "6", "17:51:36"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-90", "6", "17:52:09"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-90", "6", "17:52:13"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-90", "6", "17:52:16"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-78", "6", "17:52:19"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-78", "6", "17:52:22"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-77", "6", "17:52:25"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-77", "6", "17:52:29"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-77", "6", "17:52:32"
"SABANCIUNIV", "9C:1C:12:05:93:C0", "-89", "6", "17:53:35"
"SUGuest", "00:24:6C:23:C1:29", "-77", "36", "17:50:17"
"SUGuest", "00:24:6C:23:C1:29", "-77", "36", "17:50:20"
"SUGuest", "00:24:6C:23:C1:29", "-82", "36", "17:50:23"
"SUGuest", "00:24:6C:23:C1:29", "-71", "36", "17:50:26"
"SUGuest", "00:24:6C:23:C1:29", "-76", "36", "17:50:29"
"SUGuest", "00:24:6C:23:C1:29", "-67", "36", "17:50:32"
"SUGuest", "00:24:6C:23:C1:29", "-72", "36", "17:50:35"
"SUGuest", "00:24:6C:23:C1:29", "-74", "36", "17:50:38"
"SUGuest", "00:24:6C:23:C1:29", "-72", "36", "17:50:41"
"SUGuest", "00:24:6C:23:C1:29", "-63", "36", "17:50:44"
"SUGuest", "00:24:6C:23:C1:29", "-66", "36", "17:51:17"
"SUGuest", "00:24:6C:23:C1:29", "-65", "36", "17:51:20"
"SUGuest", "00:24:6C:23:C1:29", "-66", "36", "17:51:22"
"SUGuest", "00:24:6C:23:C1:29", "-55", "36", "17:51:25"
"SUGuest", "00:24:6C:23:C1:29", "-44", "36", "17:51:28"
"SUGuest", "00:24:6C:23:C1:29", "-48", "36", "17:51:31"
"SUGuest", "00:24:6C:23:C1:29", "-62", "36", "17:51:33"
"SUGuest", "00:24:6C:23:C1:29", "-65", "36", "17:51:36"
"SUGuest", "00:24:6C:23:C1:29", "-88", "36", "17:52:19"
"SUGuest", "00:24:6C:23:C1:29", "-84", "36", "17:52:22"
"SUGuest", "00:24:6C:23:C1:29", "-73", "36", "17:52:25"
"SUGuest", "00:24:6C:23:C1:29", "-81", "36", "17:52:29"
"SUGuest", "00:24:6C:23:C1:29", "-87", "36", "17:52:32"
