SSID, BSS, RSSI, Channel, Time
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-73", "11", "12:37:21"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-71", "11", "12:37:23"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-65", "11", "12:37:26"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-64", "11", "12:37:28"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-63", "11", "12:37:31"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-56", "11", "12:37:33"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-62", "11", "12:37:36"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-78", "11", "12:38:29"
"KALENDER-w", "5C:A6:E6:D5:2A:CB", "-78", "11", "12:38:39"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-76", "104", "12:39:12"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-77", "104", "12:39:15"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-80", "104", "12:39:19"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-74", "104", "12:39:53"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-67", "104", "12:39:57"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-65", "104", "12:40:01"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-58", "104", "12:40:05"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-46", "104", "12:40:08"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-84", "104", "12:40:42"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-79", "104", "12:40:46"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-82", "104", "12:40:50"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-90", "104", "12:41:24"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-81", "104", "12:41:28"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-75", "104", "12:41:31"
"SABANCIUNIV", "9C:1C:12:06:3E:30", "-74", "104", "12:41:35"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-91", "64", "12:39:12"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-90", "64", "12:39:15"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-91", "64", "12:39:19"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-83", "64", "12:40:42"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-93", "64", "12:40:46"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-93", "64", "12:40:50"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-92", "64", "12:41:28"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-91", "64", "12:41:31"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-91", "64", "12:41:35"
"SABANCIUNIV", "9C:1C:12:06:3D:D0", "-93", "64", "12:42:40"
"SUGuest", "9C:1C:12:06:3E:21", "-89", "6", "12:37:33"
"SUGuest", "9C:1C:12:06:3E:21", "-89", "6", "12:37:36"
"SUGuest", "9C:1C:12:06:3E:21", "-74", "6", "12:39:12"
"SUGuest", "9C:1C:12:06:3E:21", "-74", "6", "12:39:15"
"SUGuest", "9C:1C:12:06:3E:21", "-85", "6", "12:39:19"
"SUGuest", "9C:1C:12:06:3E:21", "-75", "6", "12:39:53"
"SUGuest", "9C:1C:12:06:3E:21", "-75", "6", "12:39:57"
"SUGuest", "9C:1C:12:06:3E:21", "-75", "6", "12:40:01"
"SUGuest", "9C:1C:12:06:3E:21", "-65", "6", "12:40:05"
"SUGuest", "9C:1C:12:06:3E:21", "-61", "6", "12:40:08"
"SUGuest", "9C:1C:12:06:3E:21", "-80", "6", "12:40:42"
