SSID, BSS, RSSI, Channel, Time
"SUGuest", "B8:3A:5A:F8:E7:61", "-86", "11", "12:04:25"
"SUGuest", "B8:3A:5A:F8:E7:61", "-81", "11", "12:04:28"
"SUGuest", "B8:3A:5A:F8:E7:61", "-81", "11", "12:04:31"
"SUGuest", "B8:3A:5A:F8:E7:61", "-84", "11", "12:04:34"
"SUGuest", "B8:3A:5A:F8:E7:61", "-84", "11", "12:04:37"
"SUGuest", "B8:3A:5A:F8:E7:61", "-87", "11", "12:06:14"
"SUGuest", "B8:3A:5A:F8:E7:61", "-88", "11", "12:07:18"
"SUGuest", "B8:3A:5A:F8:E7:61", "-88", "11", "12:07:20"
"SUGuest", "B8:3A:5A:F8:E7:61", "-88", "11", "12:07:23"
"SUGuest", "B8:3A:5A:F8:E7:61", "-88", "11", "12:07:26"
"SUGuest", "B8:3A:5A:F8:E7:61", "-88", "11", "12:07:29"
"SUGuest", "B8:3A:5A:F8:E7:61", "-88", "11", "12:07:31"
"eduroam", "00:24:6C:23:BF:2A", "-92", "112", "12:06:14"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-85", "11", "12:04:28"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-84", "11", "12:04:31"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-84", "11", "12:04:34"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-84", "11", "12:04:37"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-82", "11", "12:05:41"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-79", "11", "12:08:37"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-80", "11", "12:08:40"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-89", "11", "12:08:43"
"SABANCIUNIV", "24:DE:C6:A7:BF:70", "-89", "11", "12:08:45"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-87", "124", "12:04:12"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-92", "124", "12:04:15"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-83", "124", "12:04:18"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-85", "124", "12:04:21"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-84", "124", "12:04:25"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-88", "124", "12:04:28"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-89", "124", "12:04:31"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-85", "124", "12:04:34"
