SSID, BSS, RSSI, Channel, Time
"SABANCIUNIV", "24:DE:C6:DC:C3:D0", "-92", "128", "11:46:58"
"SABANCIUNIV", "24:DE:C6:DC:C3:D0", "-93", "128", "11:47:45"
"SABANCIUNIV", "24:DE:C6:DC:C3:D0", "-93", "128", "11:47:48"
"SABANCIUNIV", "24:DE:C6:DC:C3:D0", "-92", "128", "11:48:26"
"SABANCIUNIV", "24:DE:C6:BC:40:68", "-87", "64", "11:48:23"
"SABANCIUNIV", "24:DE:C6:BC:40:68", "-87", "64", "11:48:26"
"eduroam", "9C:1C:12:AB:A1:B1", "-87", "44", "11:47:33"
"eduroam", "9C:1C:12:AB:A1:B1", "-87", "44", "11:47:36"
"eduroam", "9C:1C:12:AB:A1:B1", "-87", "44", "11:47:39"
"eduroam", "9C:1C:12:AB:A1:B1", "-87", "44", "11:47:42"
"eduroam", "9C:1C:12:AB:A1:B1", "-87", "44", "11:47:45"
"eduroam", "9C:1C:12:AB:A1:B1", "-87", "44", "11:47:48"
"eduroam", "9C:1C:12:AB:A1:B1", "-90", "44", "11:48:26"
"SUGuest", "9C:1C:12:AB:A1:A2", "-80", "6", "11:48:23"
"SUGuest", "9C:1C:12:AB:A1:A2", "-80", "6", "11:48:26"
"SUGuest", "24:DE:C6:DC:C5:92", "-79", "44", "11:46:58"
"SUGuest", "24:DE:C6:DC:C5:92", "-75", "44", "11:47:33"
"SUGuest", "24:DE:C6:DC:C5:92", "-78", "44", "11:47:36"
"SUGuest", "24:DE:C6:DC:C5:92", "-81", "44", "11:47:39"
"SUGuest", "24:DE:C6:DC:C5:92", "-83", "44", "11:47:42"
"SUGuest", "24:DE:C6:DC:C5:92", "-82", "44", "11:47:45"
"SUGuest", "24:DE:C6:DC:C5:92", "-87", "44", "11:47:48"
"SUGuest", "24:DE:C6:DC:C5:92", "-84", "44", "11:48:23"
"SUGuest", "24:DE:C6:DC:C5:92", "-84", "44", "11:48:26"
"SU-IoT", "24:DE:C6:DC:C5:83", "-85", "11", "11:46:58"
"SU-IoT", "24:DE:C6:DC:C5:83", "-66", "11", "11:47:33"
"SU-IoT", "24:DE:C6:DC:C5:83", "-69", "11", "11:47:36"
"SU-IoT", "24:DE:C6:DC:C5:83", "-67", "11", "11:47:39"
"SU-IoT", "24:DE:C6:DC:C5:83", "-65", "11", "11:47:42"
"SU-IoT", "24:DE:C6:DC:C5:83", "-70", "11", "11:47:45"
"SU-IoT", "24:DE:C6:DC:C5:83", "-70", "11", "11:47:48"
"SU-IoT", "24:DE:C6:DC:C5:83", "-73", "11", "11:48:23"
"SU-IoT", "24:DE:C6:DC:C5:83", "-72", "11", "11:48:26"
"SABANCIUNIV", "00:24:6C:23:D3:E8", "-71", "116", "11:46:58"
"SABANCIUNIV", "00:24:6C:23:D3:E8", "-88", "116", "11:47:33"
"SABANCIUNIV", "00:24:6C:23:D3:E8", "-88", "116", "11:47:36"
"SABANCIUNIV", "00:24:6C:23:D3:E8", "-88", "116", "11:47:39"
"SABANCIUNIV", "00:24:6C:23:D3:E8", "-88", "116", "11:47:42"
"SUGuest", "E8:26:89:02:7F:D2", "-88", "132", "11:46:58"
"SUGuest", "E8:26:89:02:7F:D2", "-80", "132", "11:47:33"
"SUGuest", "E8:26:89:02:7F:D2", "-82", "132", "11:47:36"
"SUGuest", "E8:26:89:02:7F:D2", "-71", "132", "11:47:39"
"SUGuest", "E8:26:89:02:7F:D2", "-75", "132", "11:47:42"
"SUGuest", "E8:26:89:02:7F:D2", "-91", "132", "11:47:45"
"SUGuest", "E8:26:89:02:7F:D2", "-93", "132", "11:47:48"
"SUGuest", "E8:26:89:02:7F:D2", "-89", "132", "11:48:23"
"SU-IoT", "E8:26:89:02:7F:C3", "-86", "6", "11:47:33"
"SU-IoT", "E8:26:89:02:7F:C3", "-89", "6", "11:47:36"
"SU-IoT", "E8:26:89:02:7F:C3", "-89", "6", "11:47:39"
"SU-IoT", "E8:26:89:02:7F:C3", "-87", "6", "11:47:42"
"SU-IoT", "E8:26:89:02:7F:C3", "-87", "6", "11:47:45"
"SU-IoT", "E8:26:89:02:7F:C3", "-87", "6", "11:47:48"
"SABANCIUNIV", "00:24:6C:23:D3:E0", "-75", "1", "11:46:58"
"SABANCIUNIV", "00:24:6C:23:D3:E0", "-79", "1", "11:47:33"
"SABANCIUNIV", "00:24:6C:23:D3:E0", "-79", "1", "11:47:36"
"SUGuest", "6C:F3:7F:83:5F:9A", "-84", "48", "11:47:33"
"SUGuest", "6C:F3:7F:83:5F:9A", "-82", "48", "11:47:36"
"SUGuest", "6C:F3:7F:83:5F:9A", "-81", "48", "11:47:39"
"SUGuest", "6C:F3:7F:83:5F:9A", "-81", "48", "11:47:42"
"SUGuest", "6C:F3:7F:83:5F:9A", "-74", "48", "11:47:45"
"SUGuest", "6C:F3:7F:83:5F:9A", "-79", "48", "11:47:48"
"SUGuest", "6C:F3:7F:83:5F:9A", "-75", "48", "11:48:23"
"SUGuest", "6C:F3:7F:83:5F:9A", "-77", "48", "11:48:26"
"SUGuest", "94:B4:0F:CD:82:F2", "-81", "140", "11:46:58"
"SUGuest", "94:B4:0F:CD:82:F2", "-77", "140", "11:47:33"
"SUGuest", "94:B4:0F:CD:82:F2", "-82", "140", "11:47:36"
"SUGuest", "94:B4:0F:CD:82:F2", "-80", "140", "11:47:39"
"SUGuest", "94:B4:0F:CD:82:F2", "-83", "140", "11:47:42"
"SUGuest", "94:B4:0F:CD:82:F2", "-80", "140", "11:47:45"
"SUGuest", "94:B4:0F:CD:82:F2", "-73", "140", "11:47:48"
"SUGuest", "94:B4:0F:CD:82:F2", "-89", "140", "11:48:23"
"SUGuest", "94:B4:0F:CD:82:F2", "-92", "140", "11:48:26"
"SU-IoT", "94:B4:0F:CD:82:E3", "-92", "11", "11:46:58"
"eduroam", "6C:F3:7F:83:5F:99", "-85", "48", "11:47:33"
"eduroam", "6C:F3:7F:83:5F:99", "-81", "48", "11:47:36"
"eduroam", "6C:F3:7F:83:5F:99", "-82", "48", "11:47:39"
"eduroam", "6C:F3:7F:83:5F:99", "-81", "48", "11:47:42"
"eduroam", "6C:F3:7F:83:5F:99", "-74", "48", "11:47:45"
"eduroam", "6C:F3:7F:83:5F:99", "-79", "48", "11:47:48"
"eduroam", "6C:F3:7F:83:5F:99", "-74", "48", "11:48:23"
"eduroam", "6C:F3:7F:83:5F:99", "-76", "48", "11:48:26"
"SABANCIUNIV", "24:DE:C6:D8:D2:20", "-82", "1", "11:47:39"
"SABANCIUNIV", "24:DE:C6:D8:D2:20", "-82", "1", "11:47:42"
"SABANCIUNIV", "24:DE:C6:D8:D2:20", "-82", "1", "11:47:45"
"SABANCIUNIV", "24:DE:C6:D8:D2:20", "-82", "1", "11:47:48"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-80", "11", "11:46:58"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-80", "11", "11:47:33"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-80", "11", "11:47:36"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-80", "11", "11:47:39"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-80", "11", "11:47:42"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-80", "11", "11:47:45"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-80", "11", "11:47:48"
"SABANCIUNIV", "24:DE:C6:DC:C7:C0", "-78", "11", "11:48:23"
"SU-IoT", "24:DE:C6:BD:4F:D3", "-93", "1", "11:47:33"
"SU-IoT", "24:DE:C6:BD:4F:D3", "-93", "1", "11:47:36"
"SU-IoT", "24:DE:C6:BD:4F:D3", "-93", "1", "11:47:39"
"SU-IoT", "24:DE:C6:BD:4F:D3", "-93", "1", "11:47:42"
"SU-IoT", "24:DE:C6:BD:4F:D3", "-93", "1", "11:47:45"
"SU-IoT", "24:DE:C6:BD:4F:D3", "-91", "1", "11:47:48"
"eduroam", "6C:F3:7F:83:5F:91", "-88", "11", "11:46:58"
"eduroam", "6C:F3:7F:83:5F:91", "-68", "11", "11:48:23"
"eduroam", "6C:F3:7F:83:5F:91", "-70", "11", "11:48:26"
"SUGuest", "9C:1C:12:1F:8C:9A", "-79", "36", "11:47:33"
"SUGuest", "9C:1C:12:1F:8C:9A", "-79", "36", "11:47:36"
"SUGuest", "9C:1C:12:1F:8C:9A", "-81", "36", "11:47:39"
"SUGuest", "9C:1C:12:1F:8C:9A", "-85", "36", "11:47:42"
"SUGuest", "9C:1C:12:1F:8C:9A", "-83", "36", "11:47:45"
"SUGuest", "9C:1C:12:1F:8C:9A", "-90", "36", "11:47:48"
"SUGuest", "9C:1C:12:1F:8C:9A", "-68", "36", "11:48:23"
"SUGuest", "9C:1C:12:1F:8C:9A", "-69", "36", "11:48:26"
"eduroam", "9C:1C:12:1F:8C:99", "-79", "36", "11:47:33"
"eduroam", "9C:1C:12:1F:8C:99", "-80", "36", "11:47:36"
"eduroam", "9C:1C:12:1F:8C:99", "-80", "36", "11:47:39"
"eduroam", "9C:1C:12:1F:8C:99", "-84", "36", "11:47:42"
