SSID, BSS, RSSI, Channel, Time
"SUGuest", "E8:26:89:FF:FA:B2", "-72", "128", "11:39:22"
"SABANCIUNIV", "6C:F3:7F:3F:85:C0", "-76", "11", "11:36:03"
"SABANCIUNIV", "6C:F3:7F:3F:85:C0", "-76", "11", "11:36:07"
"SABANCIUNIV", "6C:F3:7F:83:3A:B0", "-86", "6", "11:37:06"
"SABANCIUNIV", "6C:F3:7F:83:3A:B0", "-85", "6", "11:37:10"
"SABANCIUNIV", "6C:F3:7F:83:3A:B0", "-83", "6", "11:37:14"
"SABANCIUNIV", "6C:F3:7F:83:3A:B0", "-77", "6", "11:37:48"
"SABANCIUNIV", "6C:F3:7F:83:3A:B0", "-77", "6", "11:37:53"
"SU-IoT", "00:24:6C:23:BD:C3", "-88", "6", "11:36:03"
"SU-IoT", "00:24:6C:23:BD:C3", "-88", "6", "11:36:07"
"eduroam", "B4:5D:50:40:D0:D1", "-69", "100", "11:39:22"
"eduroam", "E8:26:89:FF:77:A1", "-88", "6", "11:37:06"
"eduroam", "E8:26:89:FF:77:A1", "-84", "6", "11:37:10"
"eduroam", "E8:26:89:FF:77:A1", "-82", "6", "11:37:14"
"", "56:8D:F7:31:29:56", "-92", "11", "11:36:03"
"", "56:8D:F7:31:29:56", "-92", "11", "11:36:07"
"", "56:8D:F7:31:29:56", "-86", "11", "11:36:51"
"", "56:8D:F7:31:29:56", "-86", "11", "11:36:55"
"", "56:8D:F7:31:29:56", "-81", "11", "11:36:58"
"", "56:8D:F7:31:29:56", "-81", "11", "11:37:02"
"", "56:8D:F7:31:29:56", "-81", "11", "11:37:06"
"", "56:8D:F7:31:29:56", "-81", "11", "11:37:10"
"", "56:8D:F7:31:29:56", "-81", "11", "11:37:14"
"SABANCIUNIV", "24:DE:C6:48:EA:08", "-85", "40", "11:37:48"
"SABANCIUNIV", "24:DE:C6:48:EA:08", "-78", "40", "11:37:53"
"SABANCIUNIV", "24:DE:C6:48:EA:08", "-73", "40", "11:37:59"
"SABANCIUNIV", "24:DE:C6:48:EA:08", "-76", "40", "11:38:03"
"SABANCIUNIV", "24:DE:C6:48:EA:08", "-86", "40", "11:38:08"
"SABANCIUNIV", "24:DE:C6:48:EA:08", "-91", "40", "11:38:11"
"SU-IoT", "00:24:6C:23:C2:73", "-73", "11", "11:36:03"
"SU-IoT", "00:24:6C:23:C2:73", "-78", "11", "11:36:07"
"SUGuest", "00:24:6C:23:C2:52", "-68", "11", "11:36:47"
"SUGuest", "00:24:6C:23:C2:52", "-65", "11", "11:36:51"
"SUGuest", "00:24:6C:23:C2:52", "-47", "11", "11:36:55"
"SUGuest", "00:24:6C:23:C2:52", "-52", "11", "11:36:58"
"SUGuest", "00:24:6C:23:C2:52", "-65", "11", "11:37:02"
"SUGuest", "00:24:6C:23:C2:52", "-71", "11", "11:37:06"
"SUGuest", "00:24:6C:23:C2:52", "-71", "11", "11:37:10"
"SUGuest", "00:24:6C:23:C2:52", "-79", "11", "11:37:14"
"eduroam", "6C:F3:7F:3F:85:C9", "-77", "44", "11:36:03"
"eduroam", "6C:F3:7F:3F:85:C9", "-91", "44", "11:36:07"
"SU-IoT", "9C:1C:12:05:D4:A3", "-87", "6", "11:36:51"
"SU-IoT", "9C:1C:12:05:D4:A3", "-87", "6", "11:36:55"
"SU-IoT", "9C:1C:12:05:D4:A3", "-87", "6", "11:36:58"
"SU-IoT", "9C:1C:12:05:D4:A3", "-87", "6", "11:37:02"
"SU-IoT", "9C:1C:12:05:D4:A3", "-87", "6", "11:37:06"
"SU-IoT", "9C:1C:12:05:D4:A3", "-87", "6", "11:37:10"
"SU-IoT", "9C:1C:12:05:D4:A3", "-87", "6", "11:37:14"
"eduroam", "6C:F3:7F:83:3A:B9", "-89", "64", "11:36:58"
"eduroam", "6C:F3:7F:83:3A:B9", "-89", "64", "11:37:02"
"eduroam", "6C:F3:7F:83:3A:B9", "-84", "64", "11:37:06"
"eduroam", "6C:F3:7F:83:3A:B9", "-85", "64", "11:37:10"
"eduroam", "6C:F3:7F:83:3A:B9", "-80", "64", "11:37:14"
"eduroam", "6C:F3:7F:83:3A:B9", "-91", "64", "11:38:03"
"eduroam", "6C:F3:7F:83:3A:B9", "-91", "64", "11:38:08"
"eduroam", "6C:F3:7F:83:3A:B9", "-91", "64", "11:38:11"
"eduroam", "E8:26:89:FF:83:E1", "-90", "6", "11:37:48"
"eduroam", "E8:26:89:FF:83:E1", "-90", "6", "11:37:53"
"eduroam", "E8:26:89:FF:83:E1", "-90", "6", "11:37:59"
"eduroam", "E8:26:89:FF:83:E1", "-90", "6", "11:38:03"
"eduroam", "E8:26:89:FF:83:E1", "-90", "6", "11:38:08"
"eduroam", "E8:26:89:FF:83:E1", "-90", "6", "11:38:11"
"SUGuest", "E8:26:89:00:CB:D2", "-86", "40", "11:37:48"
"SUGuest", "E8:26:89:00:CB:D2", "-86", "40", "11:37:53"
"SUGuest", "E8:26:89:00:CB:D2", "-86", "40", "11:37:59"
"SUGuest", "E8:26:89:00:CB:D2", "-86", "40", "11:38:03"
