SSID, BSS, RSSI, Channel, Time
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-91", "44", "12:00:41"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-83", "44", "12:00:45"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-84", "44", "12:00:48"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-81", "44", "12:00:51"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-87", "44", "12:00:54"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-83", "44", "12:00:56"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-83", "44", "12:00:59"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-89", "44", "12:01:03"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-85", "44", "12:01:06"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-89", "44", "12:01:09"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-83", "44", "12:01:12"
"SABANCIUNIV", "24:DE:C6:BD:4E:B8", "-84", "44", "12:01:14"
"eduroam", "B0:B8:67:23:4D:F1", "-89", "100", "12:02:51"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-92", "128", "12:00:45"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-92", "128", "12:00:48"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-92", "128", "12:00:51"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:00:54"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:00:56"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:00:59"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:01:03"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:01:06"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:01:09"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:01:12"
"SABANCIUNIV", "24:DE:C6:A7:BB:28", "-93", "128", "12:01:14"
"SUGuest", "24:DE:C6:BD:50:59", "-87", "136", "12:02:51"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:00:48"
"eduroam", "6C:F3:7F:83:5F:39", "-86", "108", "12:00:51"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:00:54"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:00:56"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:00:59"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:01:03"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:01:06"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:01:09"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:01:12"
"eduroam", "6C:F3:7F:83:5F:39", "-91", "108", "12:01:14"
"SU-IoT", "24:DE:C6:BC:40:43", "-87", "6", "12:00:41"
"SU-IoT", "24:DE:C6:BC:40:43", "-87", "6", "12:00:45"
"SU-IoT", "24:DE:C6:BC:40:43", "-85", "6", "12:00:48"
"SU-IoT", "24:DE:C6:BC:40:43", "-85", "6", "12:00:51"
"SU-IoT", "24:DE:C6:BC:40:43", "-73", "6", "12:00:54"
"SU-IoT", "24:DE:C6:BC:40:43", "-73", "6", "12:00:56"
"SU-IoT", "24:DE:C6:BC:40:43", "-86", "6", "12:00:59"
