SSID, BSS, RSSI, Channel, Time
"eduroam", "B8:3A:5A:AA:17:F1", "-53", "128", "11:33:12"
"SUGuest", "24:DE:C6:BD:51:2A", "-92", "132", "11:29:55"
"SUGuest", "24:DE:C6:BD:51:2A", "-90", "132", "11:29:58"
"SUGuest", "24:DE:C6:BD:51:2A", "-89", "132", "11:30:31"
"SUGuest", "24:DE:C6:BD:51:2A", "-89", "132", "11:30:36"
"SUGuest", "24:DE:C6:BD:51:2A", "-89", "132", "11:30:39"
"SUGuest", "24:DE:C6:BD:51:2A", "-89", "132", "11:30:43"
"SABANCIUNIV", "40:E3:D6:F0:CE:70", "-91", "120", "11:30:31"
"SABANCIUNIV", "40:E3:D6:F0:CE:70", "-91", "120", "11:30:36"
"SUGuest", "D8:C7:C8:A7:75:CA", "-77", "48", "11:30:31"
"SUGuest", "D8:C7:C8:A7:75:CA", "-62", "48", "11:30:36"
"SUGuest", "D8:C7:C8:A7:75:CA", "-57", "48", "11:30:39"
"SUGuest", "D8:C7:C8:A7:75:CA", "-48", "48", "11:30:43"
"SABANCIUNIV", "D8:C7:C8:A7:CF:58", "-65", "132", "11:29:39"
"SABANCIUNIV", "D8:C7:C8:A7:CF:58", "-61", "132", "11:29:48"
"SABANCIUNIV", "D8:C7:C8:A7:CF:58", "-60", "132", "11:29:52"
"SABANCIUNIV", "D8:C7:C8:A7:CF:58", "-49", "132", "11:29:55"
"SABANCIUNIV", "D8:C7:C8:A7:CF:58", "-55", "132", "11:29:58"
"SABANCIUNIV", "D8:C7:C8:A7:CF:58", "-82", "132", "11:30:31"
"SABANCIUNIV", "D8:C7:C8:A7:CF:58", "-82", "132", "11:30:36"
"FaryLink_0CB8D2", "4A:3F:DA:0C:B8:D2", "-96", "1", "11:30:31"
"FaryLink_0CB8D2", "4A:3F:DA:0C:B8:D2", "-86", "1", "11:30:36"
"FaryLink_0CB8D2", "4A:3F:DA:0C:B8:D2", "-93", "11", "11:30:39"
"FaryLink_0CB8D2", "4A:3F:DA:0C:B8:D2", "-79", "1", "11:30:43"
"SABANCIUNIV", "B4:5D:50:1F:CD:40", "-73", "11", "11:29:39"
"SABANCIUNIV", "B4:5D:50:1F:CD:40", "-80", "11", "11:29:48"
"SABANCIUNIV", "B4:5D:50:1F:CD:40", "-81", "11", "11:29:52"
"SABANCIUNIV", "B4:5D:50:1F:CD:40", "-88", "11", "11:29:55"
"SABANCIUNIV", "B4:5D:50:1F:CD:40", "-88", "11", "11:29:58"
"eduroam", "6C:F3:7F:83:5F:31", "-86", "1", "11:31:35"
"eduroam", "6C:F3:7F:83:5F:31", "-80", "1", "11:31:39"
"SABANCIUNIV", "24:DE:C6:BC:3B:98", "-86", "60", "11:29:48"
"SABANCIUNIV", "24:DE:C6:BC:3B:98", "-82", "60", "11:29:52"
"SABANCIUNIV", "24:DE:C6:BC:3B:98", "-67", "60", "11:29:55"
"SABANCIUNIV", "24:DE:C6:BC:3B:98", "-53", "60", "11:29:58"
"SABANCIUNIV", "24:DE:C6:BC:3B:98", "-83", "60", "11:30:31"
"SUGuest", "9C:8C:D8:CC:2B:42", "-61", "1", "11:29:39"
"SUGuest", "9C:8C:D8:CC:2B:42", "-74", "1", "11:29:48"
"SUGuest", "9C:8C:D8:CC:2B:42", "-76", "1", "11:29:52"
"SUGuest", "9C:8C:D8:CC:2B:42", "-80", "1", "11:29:55"
"SUGuest", "9C:8C:D8:CC:2B:42", "-80", "1", "11:29:58"
"eduroam", "84:D4:7E:AA:43:A1", "-81", "6", "11:29:39"
"eduroam", "84:D4:7E:AA:43:A1", "-81", "6", "11:29:48"
"eduroam", "84:D4:7E:AA:43:A1", "-81", "6", "11:29:52"
"eduroam", "84:D4:7E:AA:43:A1", "-81", "6", "11:29:55"
"eduroam", "84:D4:7E:AA:43:A1", "-81", "6", "11:29:58"
"SABANCIUNIV", "B8:3A:5A:A9:BD:50", "-76", "132", "11:29:39"
"SU-IoT", "D8:C7:C8:A9:1A:13", "-90", "11", "11:29:52"
"SU-IoT", "D8:C7:C8:A9:1A:13", "-90", "11", "11:29:55"
"SU-IoT", "D8:C7:C8:A9:1A:13", "-90", "11", "11:29:58"
"eduroam", "D8:C7:C8:A9:17:B1", "-62", "1", "11:30:31"
"eduroam", "D8:C7:C8:A9:17:B1", "-65", "1", "11:30:36"
"eduroam", "D8:C7:C8:A9:17:B1", "-71", "1", "11:30:39"
"eduroam", "D8:C7:C8:A9:17:B1", "-86", "1", "11:30:43"
"SUGuest", "D8:C7:C8:A7:CF:5A", "-65", "132", "11:29:39"
"SUGuest", "D8:C7:C8:A7:CF:5A", "-60", "132", "11:29:48"
"SUGuest", "D8:C7:C8:A7:CF:5A", "-60", "132", "11:29:52"
"SUGuest", "D8:C7:C8:A7:CF:5A", "-49", "132", "11:29:55"
"SUGuest", "D8:C7:C8:A7:CF:5A", "-54", "132", "11:29:58"
"FaryLink_0CBE87", "4A:3F:DA:0C:BE:87", "-91", "11", "11:31:18"
"FaryLink_0CBE87", "4A:3F:DA:0C:BE:87", "-94", "11", "11:31:22"
"FaryLink_0CBE87", "4A:3F:DA:0C:BE:87", "-94", "11", "11:31:26"
"FaryLink_0CBE87", "4A:3F:DA:0C:BE:87", "-94", "11", "11:31:29"
"FaryLink_0CBE87", "4A:3F:DA:0C:BE:87", "-94", "11", "11:31:32"
"FaryLink_0CBE87", "4A:3F:DA:0C:BE:87", "-95", "11", "11:31:35"
"FaryLink_0CBE87", "4A:3F:DA:0C:BE:87", "-95", "11", "11:31:39"
"SU-IoT", "B8:3A:5A:AA:17:E3", "-86", "11", "11:30:36"
"SU-IoT", "B8:3A:5A:AA:17:E3", "-86", "11", "11:30:39"
"SU-IoT", "B8:3A:5A:AA:17:E3", "-82", "11", "11:30:43"
"SU-IoT", "B8:3A:5A:AA:17:E3", "-77", "11", "11:33:12"
"SABANCIUNIV", "9C:1C:12:FE:78:D0", "-91", "124", "11:31:39"
"SU-IoT", "24:DE:C6:CE:B9:E3", "-88", "6", "11:30:31"
"SU-IoT", "24:DE:C6:CE:B9:E3", "-88", "6", "11:30:36"
"SU-IoT", "24:DE:C6:CE:B9:E3", "-88", "6", "11:30:39"
"SU-IoT", "24:DE:C6:CE:B9:E3", "-88", "6", "11:30:43"
"SU-IoT", "24:DE:C6:CE:B9:E3", "-60", "6", "11:33:12"
"SUGuest", "24:DE:C6:BC:3B:9A", "-88", "60", "11:29:48"
"SUGuest", "24:DE:C6:BC:3B:9A", "-81", "60", "11:29:52"
"SUGuest", "24:DE:C6:BC:3B:9A", "-67", "60", "11:29:55"
"SUGuest", "24:DE:C6:BC:3B:9A", "-54", "60", "11:29:58"
"SUGuest", "24:DE:C6:BC:3B:9A", "-83", "60", "11:30:31"
"SABANCIUNIV", "40:E3:D6:F0:B4:70", "-84", "108", "11:30:31"
"SABANCIUNIV", "40:E3:D6:F0:B4:70", "-84", "108", "11:30:36"
"SU-IoT", "24:DE:C6:BC:40:83", "-90", "1", "11:29:52"
"SU-IoT", "24:DE:C6:BC:40:83", "-90", "1", "11:29:55"
"SU-IoT", "24:DE:C6:BC:40:83", "-90", "1", "11:29:58"
"SU-IoT", "24:DE:C6:BC:40:83", "-87", "1", "11:31:18"
"SU-IoT", "24:DE:C6:BC:40:83", "-87", "1", "11:31:22"
"SU-IoT", "24:DE:C6:BC:40:83", "-89", "1", "11:31:26"
"SU-IoT", "24:DE:C6:BC:40:83", "-89", "1", "11:31:29"
"SU-IoT", "24:DE:C6:BC:40:83", "-89", "1", "11:31:32"
"SU-IoT", "24:DE:C6:BC:40:83", "-88", "1", "11:31:35"
"SU-IoT", "24:DE:C6:BC:40:83", "-88", "1", "11:31:39"
"cogrobo", "B0:6E:BF:DD:3D:24", "-82", "100", "11:29:39"
"cogrobo", "B0:6E:BF:DD:3D:24", "-85", "100", "11:29:48"
"cogrobo", "B0:6E:BF:DD:3D:24", "-90", "100", "11:29:52"
"cogrobo", "B0:6E:BF:DD:3D:24", "-90", "100", "11:29:55"
"cogrobo", "B0:6E:BF:DD:3D:24", "-90", "100", "11:29:58"
"cogrobo", "B0:6E:BF:DD:3D:24", "-84", "100", "11:31:18"
"cogrobo", "B0:6E:BF:DD:3D:24", "-84", "100", "11:31:22"
"cogrobo", "B0:6E:BF:DD:3D:24", "-84", "100", "11:31:26"
"cogrobo", "B0:6E:BF:DD:3D:24", "-84", "100", "11:31:29"
"eduroam", "E8:26:89:DF:06:41", "-90", "11", "11:33:12"
