SSID, BSS, RSSI, Channel, Time
"eduroam", "D0:15:A6:5C:3A:D1", "-91", "112", "11:57:27"
"SU-IoT", "24:DE:C6:BC:40:43", "-83", "6", "11:55:54"
"SU-IoT", "24:DE:C6:BC:40:43", "-83", "6", "11:55:57"
"SUGuest", "24:DE:C6:D8:D2:21", "-79", "1", "11:55:54"
"SUGuest", "24:DE:C6:D8:D2:21", "-75", "1", "11:55:57"
"SUGuest", "24:DE:C6:D8:D2:21", "-77", "1", "11:56:38"
"SUGuest", "24:DE:C6:D8:D2:21", "-77", "1", "11:56:41"
"SUGuest", "24:DE:C6:D8:D2:21", "-77", "1", "11:56:45"
"SUGuest", "24:DE:C6:D8:D2:21", "-77", "1", "11:56:48"
"SABANCIUNIV", "24:DE:C6:BC:40:48", "-78", "140", "11:55:54"
"SABANCIUNIV", "24:DE:C6:BC:40:48", "-78", "140", "11:55:57"
"SABANCIUNIV", "24:DE:C6:BC:40:48", "-91", "140", "11:57:27"
"SABANCIUNIV", "48:4A:E9:2D:B5:80", "-84", "6", "11:55:54"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-83", "6", "11:57:27"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-88", "56", "11:55:18"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-88", "56", "11:55:20"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-83", "56", "11:55:54"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-78", "56", "11:55:57"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-81", "56", "11:56:31"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-81", "56", "11:56:34"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-86", "56", "11:56:38"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-86", "56", "11:56:41"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-86", "56", "11:56:45"
"SABANCIUNIV", "24:DE:C6:D8:D2:30", "-86", "56", "11:56:48"
"eduroam", "24:DE:C6:BC:40:61", "-62", "11", "11:57:27"
"SUGuest", "24:DE:C6:BD:4F:D2", "-87", "1", "11:56:34"
"SUGuest", "24:DE:C6:BD:4F:D2", "-87", "1", "11:56:38"
"SUGuest", "24:DE:C6:BD:4F:D2", "-84", "1", "11:56:41"
"SUGuest", "24:DE:C6:BD:4F:D2", "-83", "1", "11:56:45"
"SUGuest", "24:DE:C6:BD:4F:D2", "-83", "1", "11:56:48"
"SUGuest", "94:B4:0F:CD:82:E2", "-77", "11", "11:56:38"
"SUGuest", "94:B4:0F:CD:82:E2", "-77", "11", "11:56:41"
"SUGuest", "94:B4:0F:CD:82:E2", "-87", "11", "11:56:45"
"SUGuest", "94:B4:0F:CD:82:E2", "-87", "11", "11:56:48"
"SUGuest", "24:DE:C6:BD:53:B2", "-85", "11", "11:55:54"
"SUGuest", "24:DE:C6:BD:53:B2", "-85", "11", "11:55:57"
"eduroam", "94:B4:0F:CD:82:F1", "-92", "140", "11:55:20"
"eduroam", "94:B4:0F:CD:82:F1", "-81", "140", "11:55:54"
"eduroam", "94:B4:0F:CD:82:F1", "-89", "140", "11:55:57"
"eduroam", "94:B4:0F:CD:82:F1", "-70", "140", "11:56:31"
"eduroam", "94:B4:0F:CD:82:F1", "-75", "140", "11:56:34"
"eduroam", "94:B4:0F:CD:82:F1", "-75", "140", "11:56:38"
"eduroam", "94:B4:0F:CD:82:F1", "-80", "140", "11:56:41"
"eduroam", "94:B4:0F:CD:82:F1", "-80", "140", "11:56:45"
"eduroam", "94:B4:0F:CD:82:F1", "-83", "140", "11:56:48"
"SUGuest", "24:DE:C6:BD:4F:DA", "-89", "108", "11:56:31"
"SUGuest", "24:DE:C6:BD:4F:DA", "-86", "108", "11:56:34"
"SUGuest", "24:DE:C6:BD:4F:DA", "-87", "108", "11:56:38"
"SUGuest", "24:DE:C6:BD:4F:DA", "-79", "108", "11:56:41"
"SUGuest", "24:DE:C6:BD:4F:DA", "-71", "108", "11:56:45"
"SUGuest", "24:DE:C6:BD:4F:DA", "-70", "108", "11:56:48"
"SUGuest", "24:DE:C6:BD:4F:DA", "-91", "108", "11:57:27"
"SUGuest", "D0:15:A6:8C:09:72", "-82", "100", "11:55:18"
"SUGuest", "D0:15:A6:8C:09:72", "-88", "100", "11:55:20"
"SUGuest", "D0:15:A6:8C:09:72", "-79", "100", "11:55:54"
"SUGuest", "D0:15:A6:8C:09:72", "-81", "100", "11:55:57"
"SUGuest", "D0:15:A6:8C:09:72", "-89", "100", "11:56:48"
