SSID, BSS, RSSI, Channel, Time
"SABANCIUNIV", "6C:F3:7F:83:49:B8", "-87", "132", "11:20:21"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-86", "1", "11:23:02"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:06"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:10"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:14"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:17"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:20"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:24"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:27"
"SABANCIUNIV", "B0:B8:67:24:99:C0", "-88", "1", "11:23:30"
"SUGuest", "34:FC:B9:59:2D:92", "-71", "100", "11:20:21"
"SUGuest", "34:FC:B9:59:2D:92", "-91", "100", "11:22:24"
"SUGuest", "34:FC:B9:59:2D:92", "-83", "100", "11:22:28"
"SUGuest", "34:FC:B9:59:2D:92", "-76", "100", "11:23:02"
"SUGuest", "34:FC:B9:59:2D:92", "-76", "100", "11:23:06"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:05"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:08"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:12"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:15"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:18"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:21"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:24"
"SU-IoT", "00:24:6C:35:83:03", "-84", "1", "11:22:28"
"SU-IoT", "34:FC:B9:59:2D:83", "-68", "6", "11:20:21"
"SU-IoT", "34:FC:B9:59:2D:83", "-76", "6", "11:23:02"
"SU-IoT", "34:FC:B9:59:2D:83", "-76", "6", "11:23:06"
"SU-IoT", "34:FC:B9:59:2D:83", "-76", "6", "11:23:10"
"SU-IoT", "34:FC:B9:59:2D:83", "-76", "6", "11:23:14"
"SU-IoT", "34:FC:B9:59:2D:83", "-76", "6", "11:23:17"
"SUGuest", "D8:C7:C8:A9:18:B2", "-83", "6", "11:22:24"
"SUGuest", "D8:C7:C8:A9:18:B2", "-83", "6", "11:22:28"
