SSID, BSS, RSSI, Channel, Time
"eduroam", "9C:1C:12:0A:9C:D1", "-69", "1", "11:41:36"
"eduroam", "9C:1C:12:0A:9C:D1", "-69", "1", "11:41:43"
"eduroam", "9C:1C:12:0A:9C:D1", "-69", "1", "11:41:52"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:04"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:10"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:14"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:18"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:21"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:25"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:29"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:33"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:37"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:41"
"eduroam", "9C:1C:12:0A:9C:D1", "-75", "1", "11:42:44"
"eduroam", "9C:1C:12:0A:9C:D1", "-78", "1", "11:42:53"
"eduroam", "9C:1C:12:0A:9C:D1", "-73", "1", "11:43:00"
"eduroam", "9C:1C:12:0A:9C:D1", "-73", "1", "11:43:07"
"eduroam", "9C:1C:12:0A:9C:D1", "-80", "1", "11:43:11"
"eduroam", "9C:1C:12:0A:9C:D1", "-81", "1", "11:43:17"
"eduroam", "9C:1C:12:0A:9C:D1", "-76", "1", "11:43:25"
"eduroam", "9C:1C:12:0A:9C:D1", "-72", "1", "11:43:31"
"eduroam", "9C:1C:12:0A:9C:D1", "-75", "1", "11:43:39"
"eduroam", "9C:1C:12:0A:9C:D1", "-75", "1", "11:43:46"
"eduroam", "9C:1C:12:0A:9C:D1", "-75", "1", "11:43:52"
"eduroam", "9C:1C:12:0A:9C:D1", "-73", "1", "11:45:18"
"eduroam", "9C:1C:12:0A:9C:D1", "-70", "1", "11:45:23"
"eduroam", "9C:1C:12:0A:9C:D1", "-68", "1", "11:45:28"
"eduroam", "9C:1C:12:0A:9C:D1", "-76", "1", "11:45:32"
"eduroam", "9C:1C:12:0A:9C:D1", "-76", "1", "11:45:40"
"eduroam", "9C:1C:12:0A:9C:D1", "-76", "1", "11:45:46"
"Zafer", "AE:B6:D0:69:92:59", "-85", "44", "11:41:36"
"Zafer", "AE:B6:D0:69:92:59", "-85", "44", "11:41:43"
"Zafer", "AE:B6:D0:69:92:59", "-83", "44", "11:41:52"
"Zafer", "AE:B6:D0:69:92:59", "-83", "44", "11:41:58"
"Zafer", "AE:B6:D0:69:92:59", "-81", "44", "11:42:04"
"Zafer", "AE:B6:D0:69:92:59", "-81", "44", "11:42:10"
"Zafer", "AE:B6:D0:69:92:59", "-70", "44", "11:42:14"
"Zafer", "AE:B6:D0:69:92:59", "-70", "44", "11:42:18"
"Zafer", "AE:B6:D0:69:92:59", "-73", "44", "11:42:21"
"Zafer", "AE:B6:D0:69:92:59", "-78", "44", "11:42:25"
"Zafer", "AE:B6:D0:69:92:59", "-85", "44", "11:42:29"
"Zafer", "AE:B6:D0:69:92:59", "-86", "44", "11:42:33"
"Zafer", "AE:B6:D0:69:92:59", "-88", "44", "11:42:37"
"Zafer", "AE:B6:D0:69:92:59", "-88", "44", "11:42:41"
"Zafer", "AE:B6:D0:69:92:59", "-88", "44", "11:42:44"
"Zafer", "AE:B6:D0:69:92:59", "-88", "44", "11:42:53"
"Zafer", "AE:B6:D0:69:92:59", "-88", "44", "11:43:00"
"Zafer", "AE:B6:D0:69:92:59", "-81", "44", "11:43:17"
"Zafer", "AE:B6:D0:69:92:59", "-79", "44", "11:43:25"
"Zafer", "AE:B6:D0:69:92:59", "-79", "44", "11:43:31"
"Zafer", "AE:B6:D0:69:92:59", "-79", "44", "11:43:39"
"Zafer", "AE:B6:D0:69:92:59", "-79", "44", "11:43:46"
"Zafer", "AE:B6:D0:69:92:59", "-90", "44", "11:45:00"
"Zafer", "AE:B6:D0:69:92:59", "-90", "44", "11:45:05"
"Zafer", "AE:B6:D0:69:92:59", "-86", "44", "11:45:15"
"Zafer", "AE:B6:D0:69:92:59", "-86", "44", "11:45:18"
"Zafer", "AE:B6:D0:69:92:59", "-83", "44", "11:45:23"
"Zafer", "AE:B6:D0:69:92:59", "-83", "44", "11:45:28"
"Zafer", "AE:B6:D0:69:92:59", "-83", "44", "11:45:32"
"Zafer", "AE:B6:D0:69:92:59", "-83", "44", "11:45:40"
"Zafer", "AE:B6:D0:69:92:59", "-83", "44", "11:45:46"
"eduroam", "9C:1C:12:0A:90:39", "-69", "56", "11:41:36"
"eduroam", "9C:1C:12:0A:90:39", "-61", "56", "11:41:43"
"eduroam", "9C:1C:12:0A:90:39", "-71", "56", "11:41:52"
"eduroam", "9C:1C:12:0A:90:39", "-71", "56", "11:41:58"
"eduroam", "9C:1C:12:0A:90:39", "-69", "56", "11:42:04"
"eduroam", "9C:1C:12:0A:90:39", "-67", "56", "11:42:10"
"eduroam", "9C:1C:12:0A:90:39", "-70", "56", "11:42:14"
"eduroam", "9C:1C:12:0A:90:39", "-71", "56", "11:42:18"
"eduroam", "9C:1C:12:0A:90:39", "-69", "56", "11:42:21"
"eduroam", "9C:1C:12:0A:90:39", "-71", "56", "11:42:25"
"eduroam", "9C:1C:12:0A:90:39", "-72", "56", "11:42:29"
"eduroam", "9C:1C:12:0A:90:39", "-71", "56", "11:42:33"
"eduroam", "9C:1C:12:0A:90:39", "-74", "56", "11:42:37"
"eduroam", "9C:1C:12:0A:90:39", "-76", "56", "11:42:41"
"eduroam", "9C:1C:12:0A:90:39", "-76", "56", "11:42:44"
"eduroam", "9C:1C:12:0A:90:39", "-61", "56", "11:42:53"
"eduroam", "9C:1C:12:0A:90:39", "-66", "56", "11:43:00"
"eduroam", "9C:1C:12:0A:90:39", "-69", "56", "11:43:07"
"eduroam", "9C:1C:12:0A:90:39", "-73", "56", "11:43:11"
"eduroam", "9C:1C:12:0A:90:39", "-76", "56", "11:43:17"
"eduroam", "9C:1C:12:0A:90:39", "-72", "56", "11:43:25"
"eduroam", "9C:1C:12:0A:90:39", "-68", "56", "11:43:31"
"eduroam", "9C:1C:12:0A:90:39", "-72", "56", "11:43:39"
"eduroam", "9C:1C:12:0A:90:39", "-69", "56", "11:43:46"
"eduroam", "9C:1C:12:0A:90:39", "-71", "56", "11:43:52"
"eduroam", "9C:1C:12:0A:90:39", "-70", "56", "11:44:26"
"eduroam", "9C:1C:12:0A:90:39", "-69", "56", "11:45:00"
"eduroam", "9C:1C:12:0A:90:39", "-75", "56", "11:45:05"
"eduroam", "9C:1C:12:0A:90:39", "-72", "56", "11:45:15"
"eduroam", "9C:1C:12:0A:90:39", "-69", "56", "11:45:18"
"eduroam", "9C:1C:12:0A:90:39", "-68", "56", "11:45:23"
"eduroam", "9C:1C:12:0A:90:39", "-68", "56", "11:45:28"
"eduroam", "9C:1C:12:0A:90:39", "-76", "56", "11:45:32"
"eduroam", "9C:1C:12:0A:90:39", "-83", "56", "11:45:40"
"eduroam", "9C:1C:12:0A:90:39", "-93", "56", "11:45:46"
"SUGuest", "24:DE:C6:BD:50:72", "-82", "1", "11:45:05"
"SUGuest", "24:DE:C6:BD:50:72", "-82", "1", "11:45:15"
"SUGuest", "24:DE:C6:BD:50:72", "-82", "1", "11:45:18"
"SUGuest", "24:DE:C6:BD:50:72", "-82", "1", "11:45:23"
"SUGuest", "24:DE:C6:BD:50:72", "-82", "1", "11:45:28"
"SUGuest", "24:DE:C6:BD:50:72", "-82", "1", "11:45:32"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-71", "36", "11:41:36"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-69", "36", "11:41:43"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-70", "36", "11:41:52"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-71", "36", "11:41:58"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-63", "36", "11:42:04"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-59", "36", "11:42:10"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-54", "36", "11:42:14"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-52", "36", "11:42:18"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-65", "36", "11:42:21"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-73", "36", "11:42:25"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-78", "36", "11:42:29"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-81", "36", "11:42:33"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-80", "36", "11:42:37"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-78", "36", "11:42:41"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-74", "36", "11:42:44"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-75", "36", "11:42:53"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-76", "36", "11:43:00"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-72", "36", "11:43:07"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-81", "36", "11:43:11"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-83", "36", "11:43:17"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-79", "36", "11:43:25"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-78", "36", "11:43:31"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-80", "36", "11:43:39"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-82", "36", "11:43:46"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-88", "36", "11:43:52"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-84", "36", "11:44:26"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-83", "36", "11:45:00"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-82", "36", "11:45:05"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-80", "36", "11:45:15"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-78", "36", "11:45:18"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-75", "36", "11:45:23"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-67", "36", "11:45:28"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-77", "36", "11:45:32"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-80", "36", "11:45:40"
"TP-Link_4025_5G", "70:4F:57:8F:40:25", "-85", "36", "11:45:46"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-73", "120", "11:41:36"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-65", "120", "11:41:43"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-81", "120", "11:41:52"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-83", "120", "11:41:58"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-78", "120", "11:42:04"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-85", "120", "11:42:10"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-83", "120", "11:42:14"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-84", "120", "11:42:18"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-90", "120", "11:42:21"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-76", "120", "11:42:25"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-75", "120", "11:42:29"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-76", "120", "11:42:33"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-78", "120", "11:42:37"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-83", "120", "11:42:41"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-81", "120", "11:42:44"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-81", "120", "11:42:53"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-81", "120", "11:43:00"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-87", "120", "11:43:07"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-88", "120", "11:43:11"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-88", "120", "11:43:17"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-87", "120", "11:43:25"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-88", "120", "11:43:31"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-86", "120", "11:43:39"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-87", "120", "11:43:46"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-87", "120", "11:43:52"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-85", "120", "11:44:26"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-88", "120", "11:45:00"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-91", "120", "11:45:05"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-81", "120", "11:45:15"
"SABANCIUNIV", "A8:BD:27:41:CA:F0", "-82", "120", "11:45:18"
