SSID, BSS, RSSI, Channel, Time
"SUGuest", "24:DE:C6:BD:4F:2A", "-85", "56", "12:11:05"
"SUGuest", "24:DE:C6:BD:4F:2A", "-77", "56", "12:11:08"
"SUGuest", "24:DE:C6:BD:4F:2A", "-80", "56", "12:11:12"
"SUGuest", "24:DE:C6:BD:4F:2A", "-83", "56", "12:11:15"
"SUGuest", "24:DE:C6:BD:4F:2A", "-81", "56", "12:11:17"
"SUGuest", "24:DE:C6:BD:4F:2A", "-79", "56", "12:11:51"
"SUGuest", "24:DE:C6:BD:4F:2A", "-79", "56", "12:11:54"
"SUGuest", "24:DE:C6:BD:4F:2A", "-79", "56", "12:11:57"
"SUGuest", "24:DE:C6:BD:4F:2A", "-79", "56", "12:12:00"
"SUGuest", "24:DE:C6:BD:4F:2A", "-91", "56", "12:12:48"
"eduroam", "24:DE:C6:BC:3D:A1", "-86", "6", "12:10:10"
"eduroam", "24:DE:C6:BC:3D:A1", "-86", "6", "12:10:14"
"eduroam", "24:DE:C6:BC:3D:A1", "-86", "6", "12:10:17"
"eduroam", "24:DE:C6:BC:3D:A1", "-89", "6", "12:10:22"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:09:50"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:09:53"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:09:59"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:10:02"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:10:08"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:10:10"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:10:14"
"SUGuest", "F0:5C:19:08:43:81", "-85", "1", "12:10:17"
"SUGuest", "24:DE:C6:A7:BA:29", "-94", "56", "12:11:05"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-86", "11", "12:11:05"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-86", "11", "12:11:08"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-86", "11", "12:11:12"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-86", "11", "12:11:15"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-86", "11", "12:11:17"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-74", "11", "12:11:51"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-74", "11", "12:11:54"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-73", "11", "12:11:57"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-73", "11", "12:12:00"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-79", "11", "12:12:03"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-79", "11", "12:12:07"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-83", "11", "12:12:10"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-82", "11", "12:12:13"
"SABANCIUNIV", "24:DE:C6:A7:B7:10", "-76", "11", "12:12:48"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-93", "124", "12:09:50"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-93", "124", "12:09:53"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-93", "124", "12:09:59"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-93", "124", "12:10:02"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-93", "124", "12:10:08"
"xyz455qwert", "00:19:3B:0C:FA:C2", "-93", "124", "12:10:10"
"SUGuest", "24:DE:C6:BC:3D:A2", "-85", "6", "12:10:10"
"SUGuest", "24:DE:C6:BC:3D:A2", "-87", "6", "12:10:14"
"SUGuest", "24:DE:C6:BC:3D:A2", "-87", "6", "12:10:17"
"SUGuest", "24:DE:C6:BC:3D:A2", "-89", "6", "12:10:22"
"eduroam", "24:DE:C6:A7:B7:11", "-86", "11", "12:11:05"
"eduroam", "24:DE:C6:A7:B7:11", "-86", "11", "12:11:08"
"eduroam", "24:DE:C6:A7:B7:11", "-86", "11", "12:11:12"
"eduroam", "24:DE:C6:A7:B7:11", "-86", "11", "12:11:15"
"eduroam", "24:DE:C6:A7:B7:11", "-86", "11", "12:11:17"
"eduroam", "24:DE:C6:A7:B7:11", "-73", "11", "12:11:51"
"eduroam", "24:DE:C6:A7:B7:11", "-77", "11", "12:11:54"
"eduroam", "24:DE:C6:A7:B7:11", "-74", "11", "12:11:57"
"eduroam", "24:DE:C6:A7:B7:11", "-73", "11", "12:12:00"
"eduroam", "24:DE:C6:A7:B7:11", "-79", "11", "12:12:03"
"eduroam", "24:DE:C6:A7:B7:11", "-79", "11", "12:12:07"
"eduroam", "24:DE:C6:A7:B7:11", "-83", "11", "12:12:10"
"eduroam", "24:DE:C6:A7:B7:11", "-83", "11", "12:12:13"
"eduroam", "24:DE:C6:A7:B7:11", "-68", "11", "12:12:48"
"SABANCIUNIV", "D8:C7:C8:FA:B5:70", "-84", "6", "12:11:05"
"SABANCIUNIV", "D8:C7:C8:FA:B5:70", "-84", "6", "12:11:08"
"SABANCIUNIV", "D8:C7:C8:FA:B5:70", "-84", "6", "12:11:12"
