SSID, BSS, RSSI, Channel, Time
"eduroam", "9C:1C:12:0A:96:9A", "-87", "116", "17:37:02"
"eduroam", "9C:1C:12:0A:96:9A", "-86", "116", "17:37:05"
"SABANCIUNIV", "70:3A:0E:09:F2:00", "-81", "6", "17:37:02"
"SABANCIUNIV", "70:3A:0E:09:F2:00", "-76", "6", "17:37:05"
"SABANCIUNIV", "70:3A:0E:09:F2:00", "-77", "6", "17:37:40"
"SABANCIUNIV", "70:3A:0E:09:F2:00", "-77", "6", "17:37:44"
" Turk Telekom WiFi", "00:5D:73:95:9B:A0", "-67", "1", "17:37:40"
" Turk Telekom WiFi", "00:5D:73:95:9B:A0", "-67", "1", "17:37:44"
"SUGuest", "9C:1C:12:0A:96:99", "-87", "116", "17:37:02"
"SUGuest", "9C:1C:12:0A:96:99", "-86", "116", "17:37:05"
"SABANCIUNIV", "B0:B8:67:23:4D:E0", "-77", "1", "17:36:59"
"SABANCIUNIV", "B0:B8:67:23:4D:E0", "-77", "1", "17:37:02"
"SABANCIUNIV", "B0:B8:67:23:4D:E0", "-77", "1", "17:37:05"
"AndroidAP", "8C:1A:BF:1A:06:E5", "-94", "6", "17:37:44"
"SUGuest", "24:DE:C6:CE:BA:8A", "-82", "104", "17:36:52"
"SUGuest", "24:DE:C6:CE:BA:8A", "-64", "104", "17:36:55"
"SUGuest", "24:DE:C6:CE:BA:8A", "-66", "104", "17:36:59"
"SUGuest", "24:DE:C6:CE:BA:8A", "-69", "104", "17:37:02"
"SUGuest", "24:DE:C6:CE:BA:8A", "-61", "104", "17:37:05"
"eduroam", "24:DE:C6:BD:53:D2", "-85", "6", "17:37:40"
"eduroam", "24:DE:C6:BD:53:D2", "-85", "6", "17:37:44"
"eduroam", "9C:1C:12:FE:46:32", "-89", "60", "17:36:55"
"eduroam", "9C:1C:12:FE:46:32", "-89", "60", "17:36:59"
"eduroam", "9C:1C:12:FE:46:32", "-84", "60", "17:37:02"
"eduroam", "9C:1C:12:FE:46:32", "-81", "60", "17:37:05"
"SU-IoT", "9C:1C:12:FE:46:23", "-91", "1", "17:37:02"
"SU-IoT", "9C:1C:12:FE:46:23", "-78", "1", "17:37:05"
"eduroam", "24:DE:C6:CE:BA:89", "-81", "104", "17:36:52"
"eduroam", "24:DE:C6:CE:BA:89", "-65", "104", "17:36:55"
"eduroam", "24:DE:C6:CE:BA:89", "-67", "104", "17:36:59"
"eduroam", "24:DE:C6:CE:BA:89", "-68", "104", "17:37:02"
"eduroam", "24:DE:C6:CE:BA:89", "-61", "104", "17:37:05"
"SABANCIUNIV", "9C:8C:D8:CC:AF:60", "-58", "11", "17:36:52"
