SSID, BSS, RSSI, Channel, Time
"SUGuest", "D8:C7:C8:12:BE:EA", "-79", "116", "11:50:39"
"SUGuest", "D8:C7:C8:12:BE:EA", "-79", "116", "11:50:42"
"SUGuest", "D8:C7:C8:12:BE:EA", "-79", "116", "11:50:45"
"SUGuest", "D8:C7:C8:12:BE:EA", "-79", "116", "11:50:49"
"SUGuest", "D8:C7:C8:12:BE:EA", "-79", "116", "11:50:52"
"SUGuest", "D8:C7:C8:12:BE:EA", "-79", "116", "11:50:55"
"SUGuest", "D8:C7:C8:12:BE:EA", "-77", "116", "11:50:58"
"SUGuest", "D8:C7:C8:12:BE:EA", "-78", "116", "11:51:01"
"SUGuest", "D8:C7:C8:12:BE:EA", "-76", "116", "11:51:04"
"eduroam", "9C:1C:12:AB:D6:C1", "-90", "11", "11:53:48"
"eduroam", "9C:1C:12:AB:D6:C1", "-90", "11", "11:53:52"
"eduroam", "9C:1C:12:AB:D6:C1", "-90", "11", "11:53:55"
"eduroam", "D8:C7:C8:18:C2:71", "-65", "6", "11:50:39"
"eduroam", "D8:C7:C8:18:C2:71", "-66", "6", "11:50:42"
"eduroam", "D8:C7:C8:18:C2:71", "-81", "6", "11:50:45"
"eduroam", "D8:C7:C8:18:C2:71", "-90", "6", "11:50:49"
"eduroam", "D8:C7:C8:18:C2:71", "-90", "6", "11:50:52"
"eduroam", "D8:C7:C8:18:C2:71", "-82", "6", "11:50:55"
"eduroam", "D8:C7:C8:18:C2:71", "-71", "6", "11:50:58"
"eduroam", "D8:C7:C8:18:C2:71", "-57", "6", "11:51:01"
"eduroam", "D8:C7:C8:18:C2:71", "-50", "6", "11:51:04"
"eduroam", "D8:C7:C8:18:C2:71", "-89", "6", "11:53:48"
"eduroam", "D8:C7:C8:18:C2:71", "-89", "6", "11:53:52"
"eduroam", "D8:C7:C8:18:C2:71", "-89", "6", "11:53:55"
"eduroam", "D8:C7:C8:69:06:F9", "-68", "120", "11:53:12"
"eduroam", "D8:C7:C8:69:06:F9", "-55", "120", "11:53:48"
"eduroam", "D8:C7:C8:69:06:F9", "-44", "120", "11:53:52"
"eduroam", "D8:C7:C8:69:06:F9", "-45", "120", "11:53:55"
"eduroam", "B0:B8:67:20:EC:F1", "-76", "108", "11:53:12"
"eduroam", "B0:B8:67:20:EC:F1", "-61", "108", "11:53:48"
"eduroam", "B0:B8:67:20:EC:F1", "-59", "108", "11:53:52"
"eduroam", "B0:B8:67:20:EC:F1", "-69", "108", "11:53:55"
