SSID, BSS, RSSI, Channel, Time
"eduroam", "B0:B8:67:23:4D:F1", "-81", "100", "11:27:14"
"eduroam", "B0:B8:67:23:4D:F1", "-78", "100", "11:27:17"
"eduroam", "B0:B8:67:23:4D:F1", "-59", "100", "11:27:51"
"eduroam", "B0:B8:67:23:4D:F1", "-56", "100", "11:27:56"
"eduroam", "B0:B8:67:23:4D:F1", "-53", "100", "11:28:01"
"eduroam", "B0:B8:67:23:4D:F1", "-50", "100", "11:28:04"
"eduroam", "B0:B8:67:23:4D:F1", "-61", "100", "11:28:08"
"eduroam", "B0:B8:67:23:4D:F1", "-65", "100", "11:28:13"
"SABANCIUNIV", "24:DE:C6:CE:B2:00", "-77", "11", "11:27:06"
"SABANCIUNIV", "24:DE:C6:CE:B2:00", "-77", "11", "11:27:08"
"SABANCIUNIV", "24:DE:C6:CE:B2:00", "-54", "11", "11:27:11"
"SABANCIUNIV", "24:DE:C6:CE:B2:00", "-62", "11", "11:27:14"
"SABANCIUNIV", "24:DE:C6:CE:B2:00", "-62", "11", "11:27:17"
"SABANCIUNIV", "24:DE:C6:CE:B2:00", "-77", "11", "11:27:51"
"SABANCIUNIV", "24:DE:C6:CE:B2:00", "-77", "11", "11:27:56"
"SABANCIUNIV", "18:64:72:74:C1:F0", "-87", "11", "11:26:28"
"SABANCIUNIV", "18:64:72:74:C1:F0", "-87", "11", "11:26:30"
"SUGuest", "9C:1C:12:0A:96:91", "-86", "11", "11:28:04"
"SUGuest", "9C:1C:12:0A:96:91", "-86", "11", "11:28:08"
"SUGuest", "9C:1C:12:0A:96:91", "-86", "11", "11:28:13"
"SABANCIUNIV", "9C:1C:12:FE:3C:F0", "-91", "52", "11:27:51"
"SABANCIUNIV", "9C:1C:12:FE:3C:F0", "-91", "52", "11:27:56"
"SABANCIUNIV", "9C:1C:12:FE:3C:F0", "-91", "52", "11:28:01"
"SABANCIUNIV", "9C:1C:12:FE:3C:F0", "-91", "52", "11:28:04"
"SABANCIUNIV", "9C:1C:12:FE:3C:F0", "-89", "52", "11:28:08"
"SABANCIUNIV", "9C:1C:12:FE:3C:F0", "-91", "52", "11:28:13"
"SU-IoT", "9C:1C:12:FE:63:23", "-64", "11", "11:27:06"
"SU-IoT", "9C:1C:12:FE:63:23", "-64", "11", "11:27:08"
"SU-IoT", "9C:1C:12:FE:63:23", "-80", "11", "11:27:11"
"SU-IoT", "9C:1C:12:FE:63:23", "-80", "11", "11:27:14"
"SU-IoT", "9C:1C:12:FE:63:23", "-80", "11", "11:27:17"
"SABANCIUNIV", "9C:8C:D8:CC:AF:60", "-74", "11", "11:27:51"
"SABANCIUNIV", "9C:8C:D8:CC:AF:60", "-77", "11", "11:27:56"
"SABANCIUNIV", "9C:8C:D8:CC:AF:60", "-77", "11", "11:28:01"
"SABANCIUNIV", "9C:8C:D8:CC:AF:60", "-77", "11", "11:28:04"
"SABANCIUNIV", "9C:8C:D8:CC:AF:60", "-77", "11", "11:28:08"
"SABANCIUNIV", "9C:8C:D8:CC:AF:60", "-77", "11", "11:28:13"
"SABANCIUNIV", "24:DE:C6:CE:BA:58", "-84", "44", "11:27:51"
"SABANCIUNIV", "24:DE:C6:CE:BA:58", "-88", "44", "11:27:56"
"SABANCIUNIV", "24:DE:C6:CE:BA:58", "-87", "44", "11:28:01"
"SABANCIUNIV", "24:DE:C6:CE:BA:58", "-90", "44", "11:28:04"
"SABANCIUNIV", "24:DE:C6:CE:BA:58", "-91", "44", "11:28:08"
"SABANCIUNIV", "24:DE:C6:CE:BA:58", "-90", "44", "11:28:13"
"NET29", "44:22:7C:3D:49:81", "-84", "36", "11:26:28"
"NET29", "44:22:7C:3D:49:81", "-78", "36", "11:26:30"
"NET29", "44:22:7C:3D:49:81", "-81", "36", "11:27:06"
"NET29", "44:22:7C:3D:49:81", "-70", "36", "11:27:08"
"NET29", "44:22:7C:3D:49:81", "-74", "36", "11:27:11"
"NET29", "44:22:7C:3D:49:81", "-73", "36", "11:27:14"
"NET29", "44:22:7C:3D:49:81", "-75", "36", "11:27:17"
"eduroam", "9C:1C:12:FE:63:32", "-81", "104", "11:27:06"
"eduroam", "9C:1C:12:FE:63:32", "-81", "104", "11:27:08"
"eduroam", "9C:1C:12:FE:63:32", "-86", "104", "11:27:11"
"eduroam", "9C:1C:12:FE:63:32", "-86", "104", "11:27:14"
"eduroam", "9C:1C:12:FE:63:32", "-86", "104", "11:27:17"
"eduroam", "9C:1C:12:FE:46:32", "-87", "60", "11:27:56"
"eduroam", "9C:1C:12:FE:46:32", "-81", "60", "11:28:01"
"eduroam", "9C:1C:12:FE:46:32", "-81", "60", "11:28:04"
"eduroam", "9C:1C:12:FE:46:32", "-83", "60", "11:28:08"
"eduroam", "9C:1C:12:FE:46:32", "-77", "60", "11:28:13"
"SU-IoT", "9C:8C:D8:CB:33:23", "-71", "11", "11:27:51"
