SSID, BSS, RSSI, Channel, Time
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:16"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:21"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:25"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:30"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:35"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:40"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:45"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:50"
"eduroam", "E8:26:89:E4:E7:11", "-91", "120", "19:47:55"
"eduroam", "34:8A:12:B0:8F:E1", "-89", "6", "19:47:12"
"eduroam", "34:8A:12:B0:8F:E1", "-89", "6", "19:47:16"
"eduroam", "34:8A:12:B0:8F:E1", "-89", "6", "19:47:21"
"eduroam", "34:8A:12:B0:8F:E1", "-89", "6", "19:47:25"
"eduroam", "34:8A:12:B0:8F:E1", "-89", "6", "19:47:30"
"eduroam", "34:8A:12:B0:8F:E1", "-89", "6", "19:47:35"
"eduroam", "34:8A:12:B0:8F:E1", "-89", "6", "19:47:40"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-90", "11", "19:44:56"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-87", "11", "19:44:59"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-80", "11", "19:46:43"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-80", "11", "19:46:47"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-76", "11", "19:46:50"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-79", "11", "19:46:53"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-79", "11", "19:46:56"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-79", "11", "19:47:00"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-72", "11", "19:47:04"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-61", "11", "19:47:09"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-64", "11", "19:47:12"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-62", "11", "19:47:16"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-55", "11", "19:47:21"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-59", "11", "19:47:25"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-65", "11", "19:47:30"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-77", "11", "19:47:35"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-85", "11", "19:47:40"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-85", "11", "19:47:45"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-85", "11", "19:47:50"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-85", "11", "19:47:55"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-85", "11", "19:48:00"
"SABANCIUNIV", "24:DE:C6:BD:54:20", "-85", "11", "19:48:04"
"eduroam", "24:DE:C6:BC:40:61", "-92", "1", "19:47:25"
"eduroam", "24:DE:C6:BC:40:61", "-92", "1", "19:47:30"
"eduroam", "24:DE:C6:BC:40:61", "-92", "1", "19:47:35"
"eduroam", "24:DE:C6:BC:40:61", "-92", "1", "19:47:40"
"eduroam", "24:DE:C6:BC:40:61", "-92", "1", "19:47:45"
"eduroam", "24:DE:C6:BC:40:61", "-92", "1", "19:47:50"
"SU-IoT", "00:24:6C:23:C5:63", "-89", "11", "19:47:55"
"SU-IoT", "00:24:6C:23:C5:63", "-83", "11", "19:48:00"
"SU-IoT", "00:24:6C:23:C5:63", "-79", "11", "19:48:04"
"SU-IoT", "00:24:6C:23:C5:63", "-85", "11", "19:48:09"
"SU-IoT", "00:24:6C:23:C5:63", "-82", "11", "19:48:12"
"SU-IoT", "00:24:6C:23:C5:63", "-82", "11", "19:48:17"
"SU-IoT", "B8:3A:5A:A9:BD:43", "-83", "6", "19:44:56"
"SU-IoT", "B8:3A:5A:A9:BD:43", "-85", "6", "19:44:59"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:46:36"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:46:39"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:46:43"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:46:47"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:46:50"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:46:53"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:46:56"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:47:00"
"SABANCIUNIV", "00:24:6C:23:C5:68", "-87", "52", "19:47:04"
