SSID, BSS, RSSI, Channel, Time
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:24"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:27"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:31"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:34"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:37"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:41"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:44"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:47"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:50"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:53"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:51:57"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:52:00"
"eduroam", "9C:1C:12:FE:78:D1", "-90", "44", "19:52:03"
"eduroam", "9C:1C:12:FE:78:D1", "-90", "44", "19:52:06"
"eduroam", "9C:1C:12:FE:78:D1", "-90", "44", "19:52:10"
"eduroam", "9C:1C:12:FE:78:D1", "-90", "44", "19:52:13"
"eduroam", "9C:1C:12:FE:78:D1", "-90", "44", "19:52:16"
"eduroam", "9C:1C:12:FE:78:D1", "-90", "44", "19:52:19"
"eduroam", "9C:1C:12:FE:78:D1", "-90", "44", "19:52:23"
"eduroam", "9C:1C:12:FE:78:D1", "-89", "44", "19:52:26"
"eduroam", "9C:1C:12:FE:78:D1", "-83", "44", "19:52:29"
"eduroam", "9C:1C:12:FE:78:D1", "-83", "44", "19:52:32"
"eduroam", "9C:1C:12:FE:78:D1", "-83", "44", "19:52:36"
"eduroam", "9C:1C:12:FE:78:D1", "-89", "44", "19:52:39"
"eduroam", "9C:1C:12:FE:78:D1", "-89", "44", "19:52:42"
"eduroam", "9C:1C:12:FE:78:D1", "-89", "44", "19:52:45"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:52:48"
"eduroam", "9C:1C:12:FE:78:D1", "-91", "44", "19:52:52"
"eduroam", "9C:1C:12:FE:78:D1", "-92", "44", "19:52:55"
"eduroam", "9C:1C:12:FE:78:D1", "-92", "44", "19:52:58"
"eduroam", "9C:1C:12:FE:78:D1", "-92", "44", "19:53:01"
"eduroam", "9C:1C:12:FE:78:D1", "-92", "44", "19:53:04"
"eduroam", "9C:1C:12:FE:78:D1", "-87", "44", "19:53:08"
"eduroam", "9C:1C:12:FE:78:D1", "-87", "44", "19:53:11"
"eduroam", "9C:1C:12:FE:78:D1", "-87", "44", "19:53:15"
"eduroam", "9C:1C:12:FE:78:D1", "-87", "44", "19:53:18"
"eduroam", "9C:1C:12:FE:78:D1", "-87", "44", "19:53:21"
"eduroam", "9C:1C:12:FE:78:D1", "-87", "44", "19:53:24"
"eduroam", "9C:1C:12:FE:78:D1", "-87", "44", "19:53:27"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:31"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:34"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:37"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:41"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:44"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:47"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:50"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:53"
"eduroam", "9C:1C:12:AB:A1:B1", "-89", "44", "19:51:57"
"eduroam", "9C:1C:12:AB:A1:B1", "-91", "44", "19:52:19"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:23"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:26"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:29"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:32"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:36"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:39"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:42"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:45"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:48"
"eduroam", "9C:1C:12:AB:A1:B1", "-83", "44", "19:52:52"
"eduroam", "9C:1C:12:AB:A1:B1", "-91", "44", "19:53:08"
"eduroam", "9C:1C:12:AB:A1:B1", "-91", "44", "19:53:11"
"eduroam", "9C:1C:12:AB:A1:B1", "-93", "44", "19:53:15"
"eduroam", "9C:1C:12:AB:A1:B1", "-93", "44", "19:53:18"
"eduroam", "9C:1C:12:AB:A1:B1", "-93", "44", "19:53:21"
"eduroam", "9C:1C:12:AB:A1:B1", "-93", "44", "19:53:24"
"eduroam", "9C:1C:12:AB:A1:B1", "-93", "44", "19:53:27"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:00"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:03"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:06"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:09"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:12"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:15"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:18"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:21"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:24"
"SU-IoT", "34:8A:12:B0:8F:E3", "-86", "6", "19:51:27"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-90", "120", "19:50:41"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-90", "120", "19:50:44"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:50:47"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:50:50"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:50:53"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:50:56"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-88", "120", "19:51:00"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-88", "120", "19:51:03"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-88", "120", "19:51:06"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-88", "120", "19:51:09"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-88", "120", "19:51:12"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:51:15"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:51:18"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:51:21"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:51:24"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:51:27"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-91", "120", "19:51:31"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-93", "120", "19:51:34"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:51:37"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:51:41"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:51:44"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:51:47"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:51:50"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:51:53"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:51:57"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:00"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:03"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:06"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:10"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:13"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:16"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:19"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:23"
"SABANCIUNIV", "34:8A:12:B0:8F:F0", "-92", "120", "19:52:26"
