SSID, BSS, RSSI, Channel, Time
"SABANCIUNIV", "D8:C7:C8:A9:19:08", "-89", "116", "19:34:10"
"SABANCIUNIV", "D8:C7:C8:A9:19:08", "-89", "116", "19:34:13"
"eduroam", "D8:C7:C8:A9:17:D9", "-72", "120", "19:34:10"
"eduroam", "D8:C7:C8:A9:17:D9", "-66", "120", "19:34:13"
"eduroam", "D8:C7:C8:A9:17:D9", "-60", "120", "19:34:16"
"eduroam", "D8:C7:C8:A9:17:D9", "-53", "120", "19:34:19"
"eduroam", "D8:C7:C8:A9:17:D9", "-58", "120", "19:34:22"
"eduroam", "D8:C7:C8:A9:17:D9", "-49", "120", "19:34:25"
"eduroam", "D8:C7:C8:A9:17:D9", "-52", "120", "19:34:29"
"eduroam", "D8:C7:C8:A9:17:D9", "-45", "120", "19:34:32"
"eduroam", "D8:C7:C8:A9:17:D9", "-55", "120", "19:34:36"
"eduroam", "D8:C7:C8:A9:17:D9", "-48", "120", "19:34:39"
"eduroam", "D8:C7:C8:A9:17:D9", "-56", "120", "19:34:42"
"eduroam", "D8:C7:C8:A9:17:D9", "-55", "120", "19:35:15"
"eduroam", "D8:C7:C8:A9:17:D9", "-51", "120", "19:35:18"
"eduroam", "D8:C7:C8:A9:17:D9", "-54", "120", "19:35:22"
"eduroam", "D8:C7:C8:A9:17:D9", "-54", "120", "19:35:25"
"eduroam", "D8:C7:C8:A9:17:D9", "-54", "120", "19:35:28"
"eduroam", "D8:C7:C8:A9:17:D9", "-64", "120", "19:35:31"
"eduroam", "D8:C7:C8:A9:17:D9", "-58", "120", "19:35:34"
"eduroam", "D8:C7:C8:A9:17:D9", "-58", "120", "19:35:37"
"eduroam", "D8:C7:C8:A9:17:D9", "-56", "120", "19:35:40"
"eduroam", "D8:C7:C8:A9:17:D9", "-47", "120", "19:35:43"
"eduroam", "D8:C7:C8:A9:17:D9", "-52", "120", "19:35:46"
"eduroam", "D8:C7:C8:A9:17:D9", "-48", "120", "19:35:49"
"eduroam", "D8:C7:C8:A9:17:D9", "-51", "120", "19:35:52"
"eduroam", "D8:C7:C8:A9:17:D9", "-49", "120", "19:35:55"
"eduroam", "D8:C7:C8:A9:17:D9", "-59", "120", "19:35:58"
"eduroam", "D8:C7:C8:A9:17:D9", "-50", "120", "19:36:02"
"eduroam", "D8:C7:C8:A9:17:D9", "-48", "120", "19:36:05"
"eduroam", "D8:C7:C8:A9:17:D9", "-54", "120", "19:36:08"
"eduroam", "D8:C7:C8:A9:17:D9", "-60", "120", "19:36:11"
"eduroam", "D8:C7:C8:A9:17:D9", "-62", "120", "19:36:14"
"eduroam", "D8:C7:C8:A9:17:D9", "-63", "120", "19:36:17"
"eduroam", "D8:C7:C8:A9:17:D9", "-55", "120", "19:36:20"
"eduroam", "D8:C7:C8:A9:17:D9", "-55", "120", "19:36:23"
"eduroam", "D8:C7:C8:A9:17:D9", "-54", "120", "19:36:26"
"eduroam", "D8:C7:C8:A9:17:D9", "-49", "120", "19:36:29"
"eduroam", "D8:C7:C8:A9:17:D9", "-52", "120", "19:36:32"
"eduroam", "D8:C7:C8:A9:17:D9", "-52", "120", "19:36:36"
"eduroam", "D8:C7:C8:A9:17:D9", "-47", "120", "19:36:39"
"eduroam", "D8:C7:C8:A9:17:D9", "-53", "120", "19:36:42"
"eduroam", "D8:C7:C8:A9:17:D9", "-51", "120", "19:36:45"
"eduroam", "D8:C7:C8:A9:17:D9", "-47", "120", "19:36:48"
"eduroam", "D8:C7:C8:A9:17:D9", "-50", "120", "19:36:51"
