SSID, BSS, RSSI, Channel, Time
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:47:40"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:47:43"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:47:46"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:47:49"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:47:52"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:47:55"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:47:58"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:48:01"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:48:04"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:48:07"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:48:10"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:48:13"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:51:03"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:51:06"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:51:09"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:51:12"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:51:15"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:18"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:21"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:24"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:27"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:30"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:33"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:37"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:40"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:43"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:51:46"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:23"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:26"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:30"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:33"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:36"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:39"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:42"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:45"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:49"
"SUGuest", "24:DE:C6:CE:B9:DA", "-92", "56", "16:52:52"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:17"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:20"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:23"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:26"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:29"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:33"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:36"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:39"
"SUGuest", "24:DE:C6:CE:B9:DA", "-91", "56", "16:53:42"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:53:45"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:53:48"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:53:51"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:53:54"
"SUGuest", "24:DE:C6:CE:B9:DA", "-90", "56", "16:53:57"
